breed,is_cat,Affectionate with Family,Amount of Shedding,Easy to Groom,General Health,Intelligence,Kid Friendly,Pet Friendly,Potential for Playfulness,Friendly Toward Strangers,Tendency to Vocalize, Adaptability, All Around Friendliness, Exercise Needs, Health Grooming, Trainability,Adapts Well to Apartment Living,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Energy Level,Exercise Needs,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intensity,Potential For Mouthiness,Potential For Playfulness,Potential For Weight Gain,Prey Drive,Sensitivity Level,Size,Tendency To Bark Or Howl,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Wanderlust Potential
Bouvier des Flandres,0,5.0,,,3.0,4.0,,,,2.0,,3.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0
Boxer,0,5.0,,,2.0,4.0,,,,4.0,,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0
Boykin Spaniel,0,5.0,,,2.0,4.0,,,,3.0,,3.0,4.0,5.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
Bracco Italiano,0,5.0,,,2.0,4.0,,,,3.0,,3.0,4.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
Briard,0,4.0,,,3.0,4.0,,,,2.0,,3.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0
Brittany,0,5.0,,,4.0,5.0,,,,4.0,,3.0,5.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0
Brussels Griffon,0,5.0,,,3.0,4.0,,,,3.0,,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,5.0
Bull Terrier,0,5.0,,,4.0,4.0,,,,5.0,,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0
Bulldog,0,5.0,,,4.0,2.0,,,,5.0,,3.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0
Bullmastiff,0,5.0,,,2.0,3.0,,,,3.0,,3.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0
